Chương 3. Căn bậc hai và căn bậc ba · lớp 9 · 23 dạng · 474 câu


### [1] Bài 1. Căn bậc hai và căn thức bậc hai | Ứng dụng thực tế của căn bậc hai (37)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến căn bậc hai (độ dài, diện tích, tốc độ, công thức vật lí).
  q3gb TL 2 | Với giá trị nào của x thì biểu thức sau có nghĩa: \sqrt{\frac{2025}{2x + 3}}
  qi9x TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt{-2024x}
  q0eo TL 2 | Với giá trị nào của x thì căn thức sau có nghĩa: \sqrt{-x^2 - 3}
  wajm TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt{3x - 15}
  yz9j TL 1 | Tìm x để căn thức sau có nghĩa: \sqrt{-2x - 5}
  iwq2 TL 2 | Với giá trị nào của x thì biểu thức sau có nghĩa: \sqrt{\frac{2 - 7x}{2024}}
  9lqm TL 2 | Với giá trị nào của x thì biểu thức sau có nghĩa: \sqrt{\frac{2025}{x^2}}
  ylp1 TL 2 | Cho biểu thức C = \sqrt{2x - 1}. Tại x = 0 có tính được giá trị của biểu thức không? Vì sao?
  epom TL 3 | Với giá trị nào của x thì biểu thức sau có nghĩa: \sqrt{x} + \frac{3}{x} + \sqrt{-3x}
  5do0 TL 1 | Cho căn thức \sqrt{11-2x}. a) Tìm điều kiện xác định của căn thức. b) Tính giá trị của căn thức tại x = 1.
  odzu TL 1 | Xét căn thức \sqrt{2x + 1}. Tìm điều kiện xác định của căn thức.
  z08w TL 1 | Cho căn thức \sqrt{10-3x}. a) Tìm điều kiện xác định của căn thức. b) Tính giá trị của căn thức tại x = 2.
  y2k6 TL 2 | Tìm điều kiện của x để các biểu thức sau có nghĩa: a) \sqrt{x-3} b) \frac{1}{2x-1}
  bg35 TL 1 | Tìm điều kiện xác định của \sqrt{x + 10} và tính giá trị của căn thức tại x = -1.

### [3] Bài 1. Căn bậc hai và căn thức bậc hai | Tìm căn bậc hai, căn bậc hai số học của một số (6)
    yêu cầu: Nhận biết được khái niệm căn bậc hai, căn bậc hai số học và tính được căn bậc hai của một số thực không âm.
  ctn8 TL 1 | Tìm căn bậc hai của: 169.
  0bzu TL 1 | Tìm căn bậc hai của: 0,64.
  1sta TL 1 | Tìm căn bậc hai của số 24,5 (làm tròn đến chữ số thập phân thứ hai).
  k6cm TL 1 | Tìm căn bậc hai của: 2,25.
  6jp5 TL 1 | Tìm căn bậc hai của: \frac{36}{121}.
  qm8w TL 1 | Tính căn bậc hai của 225.

### [4] Bài 1. Căn bậc hai và căn thức bậc hai | So sánh các căn bậc hai (5)
    yêu cầu: So sánh được hai căn bậc hai số học hoặc một số với một căn bậc hai dựa vào tính chất a < b ⇔ √a < √b.
  3uyx TL 2 | So sánh các cặp số sau: \frac{\sqrt{2}}{3} và \frac{\sqrt{3}}{2}.
  uuzp TL 1 | So sánh các cặp số sau: \sqrt{120} và \sqrt{97}.
  94yt TL 2 | So sánh các cặp số sau: 3 và \sqrt{8}.
  jl1y TL 2 | So sánh các cặp số sau: \sqrt{81} và 19.
  u8yw TL 2 | So sánh 3 với \sqrt{10} bằng hai cách (sử dụng MTCT hoặc sử dụng tính chất).

### [5] Bài 1. Căn bậc hai và căn thức bậc hai | Rút gọn biểu thức dạng √A² = |A| (58)
    yêu cầu: Vận dụng được hằng đẳng thức √A² = |A| để rút gọn biểu thức chứa căn thức bậc hai khi biết dấu của biểu thức dưới căn.
  0vb9 TL 3 | Thực hiện các phép tính b) B = \frac{\sqrt{4x^2 - 4x + 1}}{2x - 1} \ (x \ne \frac{1}{2})
  o1vd TL 3 | Rút gọn các biểu thức sau: b) B = 4x - \sqrt{x^2 - 4x + 4} \ (x \ge 2)
  qf1m TL 3 | Rút gọn các biểu thức sau: c) C = \frac{\sqrt{x^2 + 4x + 4}}{x + 2} \ (x \ne -2)
  3och TL 3 | Rút gọn các biểu thức sau: d) D = 2x - 1 - \frac{\sqrt{x^2 - 10x + 25}}{x - 5}
  rixo TL 3 | Rút gọn các biểu thức sau: a) A = \frac{2}{a - 2}\sqrt{2a^8(a^2 - 4a + 4)} \ (a \ne 2)
  qhzs TL 3 | Rút gọn các biểu thức sau: f) F = \frac{t}{2} + \frac{3}{2}\sqrt{4 - 4t + t^2} - 2 \ (t \le 2)
  7ytu TL 2 | Rút gọn các biểu thức sau: a) A = \sqrt{64a^2} + 2a
  yywv TL 3 | Rút gọn các biểu thức sau: e) E = \frac{1}{3}\sqrt{9 + 6v + v^2} + \frac{4v}{3} + 5 \ (v \le -3)
  tbpz TL 1 | Tính: \sqrt{2024^2}
  3g0c TL 2 | Rút gọn các biểu thức sau: b) \sqrt{(\sqrt{7} - 3)^2} + \sqrt{(\sqrt{7} + 3)^2}
  wbui TL 2 | Chứng minh rằng: a) (1 - \sqrt{2})^2 = 3 - 2\sqrt{2}
  1q7c TL 2 | Chứng minh rằng: b) (\sqrt{3} + \sqrt{2})^2 = 5 + 2\sqrt{6}
  9knm TL 2 | Cho căn thức \sqrt{x^2 - 4x + 4}. b) Rút gọn căn thức đã cho với x \ge 2.
  iqyb TL 1 | Tính: -\sqrt{(-8)^2}
  emuq TL 2 | Tính giá trị của các biểu thức sau: A = \sqrt{(2 - \sqrt{5})^2} + \sqrt{(2\sqrt{2} - \sqrt{5})^2}
  6yzm TL 3 | Tính giá trị của các biểu thức sau: C = \sqrt{11 + 6\sqrt{2}} - \sqrt{11 - 6\sqrt{2}}
  m1oc TL 2 | Chứng minh rằng: 11 + 6\sqrt{2} = (3 + \sqrt{2})^2
  xwqk TL 2 | Tính: \sqrt{(\sqrt{24} - 5)^2}
  5oy7 TL 2 | Tính: \sqrt{(\sqrt{8} - 3)^2}
  dnla TL 3 | Chứng minh rằng: \sqrt{11 + 6\sqrt{2}} + \sqrt{11 - 6\sqrt{2}} = 6
  sxdv TL 3 | Rút gọn các biểu thức sau: D = \sqrt{29 + 12\sqrt{5}} - \sqrt{29 - 12\sqrt{5}}
  yvhx TL 1 | Tính: (-\sqrt{2})^2
  4w0e TL 1 | Tính: \sqrt{121}
  iohb TL 3 | Tính giá trị của các biểu thức sau: \sqrt{6 + 2\sqrt{5}} + \sqrt{6 - 2\sqrt{5}}
  niop TL 3 | Tính giá trị của các biểu thức sau: \sqrt{3 + 2\sqrt{2}} + \sqrt{6 - 4\sqrt{2}}
  tj4j TL 3 | Tính giá trị của các biểu thức sau: \sqrt{24 + 8\sqrt{5}} + \sqrt{9 - 4\sqrt{5}}
  i1qn TL 3 | Chứng minh rằng: \sqrt{8 - 2\sqrt{7}} - \sqrt{8 + 2\sqrt{7}} = -2
  pc7q TL 3 | Tính giá trị của các biểu thức sau: C = \sqrt{13 + 30\sqrt{2 + \sqrt{9 + 4\sqrt{2}}}}
  fexw TL 2 | Rút gọn các biểu thức sau: b) B = 3\sqrt{9a^6} - 6a^3
  49ks TL 2 | Rút gọn các biểu thức sau: 5\sqrt{25a^2} - 25a \ (a < 0)
  7jhy TL 2 | Rút gọn các biểu thức sau: \sqrt{16a^4} + 6a^2
  033b TL 2 | Rút gọn các biểu thức sau: a) A = \sqrt{a^2 + 6a + 9} + \sqrt{a^2 - 6a + 9} \ (-3 \le a \le 3)
  8avb TL 2 | Rút gọn các biểu thức sau: B = \sqrt{a^2 + 6a + 9} + \sqrt{a^2 - 6a + 9}
  pzbd TL 2 | Tính giá trị của các biểu thức sau: 3\sqrt{5} - \sqrt{(1 - \sqrt{5})^2}
  1wxr TL 2 | Rút gọn các biểu thức sau: a) (\sqrt{5-x})^2 với x < 2; b) \sqrt{9-6x+x^2} với x > 4.
  57mv TL 2 | Rút gọn các biểu thức sau: a) (\sqrt{3-x})^2 với x < 1; b) \sqrt{9-6x+x^2} với x > 4.
  3o59 TL 2 | Rút gọn các biểu thức sau: A = \sqrt{(4 - \sqrt{15})^2} + \sqrt{15}
  xoqu TL 2 | Rút gọn các biểu thức sau: B = \sqrt{(2 - \sqrt{3})^2} + \sqrt{(1 - \sqrt{3})^2}
  ynz1 TL 1 | Tính: \sqrt{(\sqrt{20}-5)^2}
  7xc4 TL 2 | Tính giá trị biểu thức: C = \sqrt{(\sqrt{15}-3\sqrt{2})^2} + \sqrt{(5-3\sqrt{2})^2}
  p4av TL 3 | Cho căn thức \sqrt{x^2 - 4x + 4}. c) Chứng tỏ rằng với mọi x \ge 2, biểu thức \sqrt{x} - \sqrt{x^2 - 4x + 4} c
  567z TL 2 | Tính giá trị biểu thức: D = \sqrt{(4-2\sqrt{3})^2} + \sqrt{(\sqrt{10}-2\sqrt{3})^2}
  gcpo TL 3 | Tính giá trị của các biểu thức sau: \sqrt{17 - 12\sqrt{2}} + \sqrt{9 + 4\sqrt{2}}
  u59x TL 3 | Rút gọn các biểu thức sau: C = \sqrt{49 - 12\sqrt{5}} - \sqrt{49 + 12\sqrt{5}}
  w6qw TL 2 | Tính giá trị của các biểu thức sau: B = \sqrt{(\sqrt{7} - 2\sqrt{2})^2} + \sqrt{(3 - 2\sqrt{2})^2}
  46pa TL 3 | Rút gọn các biểu thức sau: b) B = \sqrt{a + 2\sqrt{a - 1}} + \sqrt{a - 2\sqrt{a - 1}} \ (1 \le a \le 2)
  4iq6 TL 2 | Tính: (\sqrt{3} + \sqrt{2})^2 - 2\sqrt{6}.
  0v55 TL 2 | Chứng minh rằng: 8 - 2\sqrt{7} = (\sqrt{7} - 1)^2
  qq5s TL 3 | Tính giá trị của các biểu thức sau: \sqrt{6 - 4\sqrt{2}} + \sqrt{22 - 12\sqrt{2}}
  7eqa TL 2 | Rút gọn các biểu thức sau: a) \sqrt{(\sqrt{3} - \sqrt{2})^2} + \sqrt{(1 - \sqrt{2})^2}
  mzxn TL 2 | Rút gọn các biểu thức sau: \sqrt{64a^2} + 2a \ (a \ge 0)
  w73x TL 1 | Tính: (-\sqrt{\frac{3}{4}})^2
  i1y1 TL 3 | Tính giá trị của các biểu thức sau: \sqrt{41 - 12\sqrt{5}} - \sqrt{41 + 12\sqrt{5}}
  je7r TL 3 | Tính giá trị của các biểu thức sau: B = \sqrt{\sqrt{5} - \sqrt{3 - \sqrt{29 - 12\sqrt{5}}}}
  f37k TL 3 | Rút gọn các biểu thức sau: B = \frac{\sqrt{9x^2 + 12x + 4}}{3x + 2} \ (x \ne \frac{-2}{3})
  igkf TL 3 | Rút gọn biểu thức B = \frac{y}{2} + \frac{3}{4}\sqrt{1 - 4y + 4y^2} - \frac{3}{2} \ (y \le \frac{1}{2})
  db6z TL 1 | Tính: \sqrt{(\sqrt{12}-4)^2}
  lc5e TL 1 | Cho căn thức \sqrt{x^2 - 4x + 4}. a) Hãy chứng tỏ rằng căn thức xác định với mọi giá trị của x.

### [6] Bài 1. Căn bậc hai và căn thức bậc hai | Tính giá trị biểu thức chứa căn bậc hai (30)
    yêu cầu: Tính được giá trị của biểu thức số chứa căn bậc hai và giá trị của căn thức tại giá trị cho trước của biến.
  qpmh TL 1 | Cho căn thức \sqrt{5 - 2x}. Tính giá trị của căn thức tại x = 2.
  bep7 TL 1 | Tính: \sqrt{(-4,9)^2}.
  bmrf TL 1 | Không sử dụng MTCT, tính: \sqrt{(-5)^2}.
  30cc TL 1 | Cho biểu thức C = \sqrt{2x - 1}. Tính giá trị của biểu thức tại x = 5.
  ozox TL 2 | Rút gọn biểu thức sau: \sqrt{x^2 - 4x + 4} (x < 2).
  ij65 TL 1 | Xét căn thức \sqrt{2x + 1}. Tính giá trị của căn thức đã cho tại x = 0 và x = 4.
  loiw TL 1 | Không sử dụng MTCT, tính: \sqrt{6^2}.
  62zd TL 1 | Tính: (-\sqrt{7})^2.
  9a6g TL 1 | Tính giá trị của căn thức bậc hai \sqrt{2024 - x} tại x = 2023; x = 2015; x = 1943.
  xwad TL 2 | Tính giá trị của căn thức bậc hai \sqrt{x^2 + 5} tại x = -2; x = 2; x = \sqrt{11}.
  078z TL 2 | Tính giá trị của căn thức bậc hai \sqrt{13 - x^2} tại x = -3; x = -2; x = 0.
  wljd TL 1 | Tính: \sqrt{\frac{121}{169}}.
  b1g8 TL 2 | Rút gọn và tính giá trị của biểu thức x + \sqrt{4x^2 - 4x + 1} tại x = -2,5.
  cjkr TL 1 | Tính giá trị của căn thức bậc hai \sqrt{2x + 1} tại x = 0; x = 4; x = 12.
  lsj6 TL 2 | Rút gọn biểu thức sau: (\sqrt{1 - x})^2 với x < 0.
  lxcg TL 2 | Tính giá trị của căn thức bậc hai \sqrt{x^2 - x + 4} tại x = -3; x = 0; x = 4.
  droc TL 2 | Không dùng máy tính cầm tay, chứng tỏ biểu thức C có giá trị là một số nguyên: C = \sqrt{(3+4\sqrt{2})^2} - \s
  wnjy TL 1 | Tính: \sqrt{(\frac{-3}{5})^2}.
  ru3h TL 2 | Tính giá trị của biểu thức: B = \sqrt{4+\sqrt{10+2\sqrt{5}}} \cdot \sqrt{4-\sqrt{10+2\sqrt{5}}}
  7vr0 TL 2 | Tính giá trị của biểu thức: C = \sqrt{3+\sqrt{6+2\sqrt{2}}} \cdot \sqrt{3-\sqrt{6+2\sqrt{2}}}
  ltsv TL 2 | Tính giá trị của căn thức bậc hai \sqrt{2x^2 + x + 6} tại x = -3; x = 1; x = 2.
  dbd7 TL 3 | Không dùng MTCT, chứng tỏ biểu thức A có giá trị là số nguyên: A = \sqrt{(1 + 2\sqrt{2})^2} - \sqrt{(1 - 2\sqr
  vaxl TL 2 | Không dùng máy tính cầm tay, chứng tỏ biểu thức B có giá trị là một số nguyên: B = \sqrt{(2+3\sqrt{3})^2} - \s
  2ojb TL 2 | Rút gọn biểu thức sau: \sqrt{(2 - \sqrt{5})^2}.
  y8zp TL 2 | Rút gọn biểu thức sau: 3\sqrt{x^2} - x + 1 (x < 0).
  a4fl TL 2 | Thực hiện phép tính: a) \sqrt{64} b) \sqrt{16}.\sqrt[3]{8} c) 2\sqrt{45} + \sqrt{5} - 3\sqrt{80}
  gaxh TL 1 | Tính: \sqrt{5,1^2}.
  r8ep TL 1 | Tính: -\sqrt{(-0,001)^2}.
  cnc1 TL 2 | Trò chơi “tìm kho báu” là một trò chơi quốc tế, rất phổ biến trong sinh hoạt Đoàn Đội. Ai đã một lần chơi sẽ c
  xkvc TL 2 | Rút gọn biểu thức x\sqrt{x^6} (x < 0).

### [7] Bài 2. Khai căn bậc hai với phép nhân và phép chia | So sánh các biểu thức chứa căn bậc hai (15)
    yêu cầu: So sánh được các biểu thức chứa căn bậc hai bằng cách biến đổi về cùng dạng căn hoặc bình phương hai vế.
  1hrb TL 1 | So sánh các cặp số dưới đây a) 2\sqrt{29} và 4\sqrt{3}
  zvvb TL 2 | So sánh các cặp số dưới đây b) \frac{5}{4}\sqrt{2} và \frac{3}{2}\sqrt{\frac{3}{2}}
  pee9 TL 2 | So sánh các cặp số dưới đây b) \frac{5}{2}\sqrt{\frac{1}{6}} và 6\sqrt{\frac{1}{37}}
  yhry TL 1 | So sánh các cặp số dưới đây c) 3\sqrt{3} và \sqrt{12}
  bch2 TL 1 | Tìm số lớn hơn trong các cặp số dưới đây a) 2\sqrt{6} và 3\sqrt{3}
  mup9 TL 1 | So sánh các cặp số dưới đây a) 5\sqrt{2} và 3\sqrt{13}
  w2fl TL 2 | Tìm số lớn hơn trong các cặp số dưới đây b) \frac{2}{5}\sqrt{6} và \frac{7}{4}\sqrt{\frac{1}{3}}
  wrcp TL 1 | Tìm số bé hơn trong các cặp số dưới đây a) 2\sqrt{23} và 3\sqrt{10}
  76et TL 2 | Sắp xếp các số sau theo thứ tự giảm dần: 7\sqrt{2}; 2\sqrt{8}; \sqrt{28}; 5\sqrt{2}
  w6im TL 2 | So sánh các cặp số dưới đây a) \frac{1}{3}\sqrt{51} và \frac{1}{5}\sqrt{150}
  x6f1 TL 1 | So sánh các cặp số dưới đây d) \sqrt{7} và 3\sqrt{5}
  q2j7 TL 2 | Sắp xếp các số sau theo thứ tự tăng dần: 3\sqrt{5}; 2\sqrt{6}; \sqrt{29}; 4\sqrt{2}
  ymt9 TL 2 | Sắp xếp các số sau a) 2\sqrt{5}; 3\sqrt{2}; 5; \sqrt{23} theo thứ tự tăng dần
  m7xy TL 2 | Sắp xếp các số sau b) 5\sqrt{2}; 2\sqrt{13}; 4\sqrt{3}; \sqrt{47} theo thứ tự giảm dần
  zrao TL 2 | Tìm số bé hơn trong các cặp số dưới đây b) 2\sqrt{\frac{1}{5}} và \frac{1}{5}\sqrt{21}

### [8] Bài 2. Khai căn bậc hai với phép nhân và phép chia | Khai căn bậc hai một tích, nhân các căn bậc hai (40)
    yêu cầu: Vận dụng được quy tắc √(ab) = √a·√b để khai phương một tích, nhân các căn thức bậc hai và rút gọn biểu thức.
  z61m TL 3 | Rút gọn các biểu thức sau: d) D = -\sqrt{36b} - \frac{1}{3}\sqrt{54b} + \frac{1}{5}\sqrt{150b} \ (b \ge 0)
  km2d TL 2 | Tính C = \sqrt{(9 + 2\sqrt{14})(9 - 2\sqrt{14})}
  jcd6 TL 2 | Tính: \sqrt{12} \cdot (\sqrt{12} + \sqrt{3}).
  idsj TL 2 | Tính: \sqrt{8} \cdot (\sqrt{50} - \sqrt{2}).
  ncws TL 2 | Rút gọn biểu thức \sqrt{2(a^2 - b^2)} \cdot \sqrt{\frac{3}{a + b}} (với a \ge b > 0).
  qfuj TL 2 | Thực hiện phép tính: a) \sqrt{3}(\sqrt{192} - \sqrt{75})
  47e8 TL 2 | Tính giá trị của các biểu thức sau: A = 0,5\sqrt{0,04} + 5\sqrt{0,36}
  cw5a TL 2 | Tính giá trị của các biểu thức sau: B = 72 : \sqrt{2^2 \cdot 36 \cdot 3^2} - \sqrt{225}
  uhyy TL 2 | Tính giá trị của các biểu thức sau: A = \sqrt{49} \cdot \sqrt{144} + \sqrt{256} : \sqrt{64}
  n6al TL 1 | Tính: \sqrt{45 \cdot 80}
  l96s TL 1 | Tính: \sqrt{52 \cdot 13}
  oa6z TL 1 | Tính: \sqrt{7} \cdot \sqrt{28}
  aztg TL 1 | Tính A = \sqrt{32 \cdot 200}
  27yf TL 1 | Tính: \sqrt{25 \cdot 144}
  w65r TL 2 | Tính: \sqrt{\frac{1}{8}} \cdot \sqrt{2} \cdot \sqrt{125} \cdot \sqrt{\frac{1}{5}}
  ocm8 TL 2 | Tính: \sqrt{\sqrt{2} - 1} \cdot \sqrt{\sqrt{2} + 1}
  s5ig TL 1 | Thực hiện phép tính: \sqrt{5^2 - 4^2}
  kr6h TL 1 | Thực hiện phép tính: \sqrt{26^2 - 24^2}
  c3ql TL 1 | Thực hiện phép tính: \sqrt{85^2 - 84^2}
  ahj7 TL 2 | Tính: \sqrt{3 - \sqrt{5}} \cdot \sqrt{8}
  7p3n TL 2 | Tính: (\sqrt{\frac{3}{4}} - \sqrt{3} + 5\sqrt{\frac{4}{3}}) \cdot \sqrt{12}
  9355 TL 2 | Tính: (\sqrt{\frac{2}{3}} + \sqrt{\frac{50}{3}} - \sqrt{24}) \cdot \sqrt{6}
  o8mi TL 3 | Tính B = (3 - \sqrt{5})\sqrt{3 + \sqrt{5}} + (3 + \sqrt{5})\sqrt{3 - \sqrt{5}}
  bc94 TL 3 | Tính C = \sqrt{2 + \sqrt{3}} \cdot \sqrt{2 + \sqrt{2 + \sqrt{3}}} \cdot \sqrt{2 + \sqrt{2 + \sqrt{2 + \sqrt{3}
  281m TL 3 | Tính A = (4 + \sqrt{15})(\sqrt{10} - \sqrt{6})\sqrt{4 - \sqrt{15}}
  pg6y TL 1 | Tính B = \sqrt{5} \cdot \sqrt{125}
  wr6c TL 2 | Tính: \sqrt{3 + \sqrt{5}} \cdot \sqrt{2}
  qba5 TL 2 | Tính A = \sqrt{3 + \sqrt{5} + 2\sqrt{3}} \cdot \sqrt{3 - \sqrt{5 + 2\sqrt{3}}}
  b71s TL 2 | Tính C = (\sqrt{12} + 12\sqrt{15} - 4\sqrt{135})\sqrt{3}
  9m6h TL 2 | Tính giá trị của biểu thức: B = \sqrt{5 + \sqrt{21}} \cdot \sqrt{2}
  i360 TL 2 | Tính giá trị của biểu thức: A = \sqrt{4 - \sqrt{7}} \cdot \sqrt{2}
  46jv TL 3 | Tính B = \sqrt{4 + \sqrt{8}} \cdot \sqrt{2 + \sqrt{2 + \sqrt{2}}} \cdot \sqrt{2 - \sqrt{2 + \sqrt{2}}}
  lsqp TL 2 | Tính: \sqrt{55 \cdot 77 \cdot 35}
  2ijx TL 1 | Tính \sqrt{3} \cdot \sqrt{75}.
  gxpu TL 2 | Phân tích thành nhân tử: \sqrt{ab} - 4\sqrt{a} (với a \ge 0, b \ge 0).
  1n69 TL 2 | Rút gọn \frac{-3\sqrt{16a} + 5a\sqrt{16ab^2}}{2\sqrt{a}} (với a > 0, b > 0).
  xhuy TL 2 | Tính D = 2\sqrt{40\sqrt{12}} - 2\sqrt{\sqrt{75}} - 3\sqrt{5\sqrt{48}}
  zj76 TL 2 | Tính D = \sqrt{117,5^2 - 26,5^2 - 1440}
  5axt TL 2 | Rút gọn \sqrt{5ab^3} \cdot \sqrt{5ab} (với a < 0, b < 0).
  dwm9 TL 1 | Tính nhanh \sqrt{25 \cdot 49}.

### [9] Bài 2. Khai căn bậc hai với phép nhân và phép chia | Khai căn bậc hai một thương, chia các căn bậc hai (81)
    yêu cầu: Vận dụng được quy tắc √(a/b) = √a/√b để khai phương một thương, chia các căn thức bậc hai và rút gọn biểu thức.
  l7z4 TL 2 | Tính giá trị của biểu thức sau: A = \sqrt{144} \cdot \sqrt{\frac{-49}{-64}} \cdot \sqrt{0,01}
  jjod TL 3 | Rút gọn các biểu thức sau: c) C = (x - y)\sqrt{\frac{xy}{(x - y)^2}} \ (xy > 0)
  244e TL 3 | Rút gọn các biểu thức sau: d) D = \sqrt{\frac{9 - 6x + x^2}{25y^2}}
