Chương 1. Đa thức · lớp 8 · 49 dạng · 505 câu


### [1] Bài 1. Đơn thức | Rút gọn và tính giá trị biểu thức (3)
    yêu cầu: Thực hiện được việc thu gọn và tính giá trị của biểu thức đại số tại các giá trị cho trước của biến.
    yêu cầu: Tính được giá trị của đơn thức hoặc biểu thức đại số đơn giản tại các giá trị cho trước của biến.
  sxjm TL 2 | Thu gọn rồi tính giá trị của đơn thức sau: B = xyz(-0,5)y^2z khi x = 4; y = 0,5; z = 2.
  4az8 TL 2 | Tính giá trị biểu thức P=2011x^2y+12x^2y-2015x^2y tại x=-1;\ y=2.
  17s0 TL 2 | Tính giá trị của đa thức sau: 4x^2y^2+xy tại x=-2,\ y=\frac{1}{2}.
  o2cz TL 2 | Tính giá trị của đa thức sau: -\frac{1}{2}x^2y^3+x tại x=3,\ y=-2.
  8yeg TL 2 | Tính giá trị đa thức sau: A=6xy^2+7xy^3+8x^2y^3 tại x=2;\ y=\frac{1}{2}.
  htkb TL 2 | Tính giá trị đa thức sau: B=x^6+2x^2y^3-x^5+xy-xy^5-x^6 tại x=0;\ y=\frac{1}{4}.
  c1e4 TL 2 | Tính giá trị đa thức sau: C=7x^2y-4x^6+3y^2+4x^6 tại x=2;\ y=1.
  v1u1 TL 2 | Tính giá trị biểu thức \frac{2}{3}x^2y+3x^2y+x^2y tại x=3,\ y=-\frac{1}{7}.
  hnqw TL 2 | Tính giá trị biểu thức \frac{1}{2}xy^2+\frac{1}{3}xy^2+\frac{1}{6}xy^2 tại x=\frac{3}{4},\ y=-\frac{1}{2}.
  v2k0 TL 2 | Tính giá trị biểu thức 2x^3y^3+10x^3y^3-20x^3y^3 tại x=1,\ y=-1.
  3c44 TL 2 | Tính giá trị của đơn thức -\frac{1}{2}x^3y^2 tại x=-\frac{1}{2},\ y=-4.
  1jaa TL 2 | Tính giá trị biểu thức 2018xy^2+16xy^2-2016xy^2 tại x=-2,\ y=-\frac{1}{3}.
  qrza TL 2 | Tính giá trị của đơn thức 2x^2y tại x=-1,\ y=\frac{1}{4}.
  9tzt TL 2 | Thu gọn rồi tính giá trị của đơn thức sau: A = (-2)x^2y\frac{1}{2}xy khi x = -2; y = \frac{1}{2}.

### [4] Bài 1. Đơn thức | Cộng, trừ các đơn thức đồng dạng (20)
    yêu cầu: Thực hiện được phép tính cộng và phép tính trừ các đơn thức đồng dạng.
  6agj TL 3 | Một mảnh đất có dạng như phần được tô màu xanh trong hình bên cùng với các kích thước được ghi trên đó. Hãy tì
  k65u TL 2 | Tính tổng, hiệu các biểu thức sau: 2x^2y+\frac{2}{3}x^2y+(-\frac{1}{3})x^2y.
  0rz0 TL 2 | Tính tổng của bốn đơn thức: 2x^2y^3; -\frac{3}{5}x^2y^3; -14x^2y^3; \frac{8}{5}x^2y^3.
  ybkl TL 2 | Rút gọn rồi tính giá trị của biểu thức S = \frac{1}{2}x^2y^5 - \frac{5}{2}x^2y^5 khi x = -2 và y = 1.
  e5so TL 2 | Tính tổng, hiệu các biểu thức sau: 3xy^2+\frac{1}{3}xy^2.
  0bwr TL 2 | Tính tổng, hiệu các biểu thức sau: 3x^2yz^2-4x^2yz^2.
  a13u TL 2 | Tính tổng, hiệu các biểu thức sau: 2x^2y^2+3x^2y^2+x^2y^2.
  si1h TL 2 | Thực hiện phép tính: 2x^3y-\frac{1}{4}x^3y.
  s61s TL 2 | Thực hiện phép tính: \frac{2}{3}x^2y+3x^2y+x^2y.
  9ovf TL 2 | Thực hiện phép tính: \frac{1}{2}xy^2+\frac{1}{3}xy^2+\frac{1}{6}xy^2.
  6tri TL 2 | Thực hiện phép tính: 3xy^2+\frac{1}{4}xy^2+(-\frac{1}{2})xy^2.
  14b9 TL 2 | Thực hiện phép tính: -\frac{1}{2}x^2y+2x^2y.
  4adj TL 2 | Thực hiện phép tính: 19x^3y+15x^3y-12x^3y.
  68t9 NLC 2 | Kết quả phép tính 3xy^2 + (-3xy^2) là:
  n7dt NLC 2 | Kết quả phép tính 4x^2y^2 - 6x^2y^2 là:
  0pkf NLC 2 | Kết quả phép tính 10x^2y + 6x^2y là:
  yvhr TL 2 | Cho hai đơn thức A = 5m(x^2y^3)^2, B = -\frac{2}{m}x^4y^6 (với m > 0). a) Hai đơn thức có đồng dạng với nhau k
  n83p TL 2 | Cho ba đơn thức: A = -12x^2y^4; B = -6x^2y^4; C = 9x^2y^4. Tính a) Tính A \cdot B \cdot C; A - B; A + B; A - C
  lt0z TL 4 | Nhìn đoàn tàu cổ gồm 7 toa mang mã số lần lượt là 2x^2y, 3xyz, 4x^2y, 5xyz^2, 6x^2y, 7xyz, 8x^2y. Bạn BEE nói 
  4nwg TL 2 | Thực hiện phép tính: -x^2y+\frac{1}{5}x^2y+4x^2y-2x^2y.

### [5] Bài 1. Đơn thức | Tính giá trị của biểu thức (3)
    yêu cầu: Tính được giá trị của biểu thức chứa đơn thức tại các giá trị cho trước của các biến.
  1m9i TL 2 | Tính giá trị của đơn thức A = 0{,}005x^4y^5, biết x=-5, y=2.
  i677 TL 2 | Tính giá trị của đơn thức B = 0{,}0625x^5y^3, biết x=-4, y=0{,}25.
  pw1e TL 2 | Cho a^{2k}=5. Tính 6a^{6k}-4.

### [6] Bài 1. Đơn thức | Nhận biết các đơn thức nhiều biến, đa thức nhiều biến (21)
    yêu cầu: Nhận biết được đơn thức nhiều biến và đa thức nhiều biến trong các biểu thức đại số cho trước.
  q1yd TL 1 | Trong các biểu thức sau, biểu thức nào là đơn thức? -x; (1 + x)y^2; (3 + \sqrt{3})xy; 0; \frac{1}{y}x^2; 2\sqr
  9zu6 DS 1 | Biểu thức nào không phải là đa thức trong các biểu thức sau?
  rr7t TL 1 | Cho biết phần hệ số, phần biến của đơn thức sau: -\frac{1}{2}xy^3.
  xtfu DS 1 | Biểu thức nào là đa thức trong các biểu thức sau?
  wue6 DS 1 | Biểu thức nào dưới đây không phải là đơn thức?
  8sd8 DS 1 | Trong các biểu thức sau, biểu thức nào là đơn thức? 2+xy;\ 3xy^2z;\ 3\frac{1}{2};\ (1-\frac{3}{2})x^2y^2;\ \fr
  3ksb DS 1 | Trong các biểu thức sau, biểu thức nào là đơn thức? \frac{4}{3}x^2yz;\ 2018;\ \frac{xy^2}{3};\ \frac{2xy}{z};\
  k8j7 TL 1 | Cho biết phần hệ số, phần biến của đơn thức sau: -\frac{3}{4}x^2y^2.
  sh8a TL 1 | Cho biết phần hệ số, phần biến của đơn thức sau: 2x^2y.
  twju TL 1 | Cho biết phần hệ số, phần biến của đơn thức sau: \frac{1}{3}xy^3.
  3t71 NLC 1 | Trong các biểu thức đại số sau, biểu thức nào không phải đơn thức?
  3cq3 NLC 1 | Đơn thức 5xyz^2 có phần biến là?
  wkm0 NLC 1 | Thu gọn đơn thức 3x^2y^2zy^2z^2 ta được đơn thức là?
  cg0v TL 1 | Trong các biểu thức sau, biểu thức nào gọi là đơn thức? 3x^2; -15x; 55; -14; 12x + 3; -8x^4y^6z^5; \frac{3x^2y
  rtf0 TL 1 | Cho các biểu thức a) \frac{4}{5}x; b) (\sqrt{2} - 1)xy; c) -3xy^2; d) \frac{1}{2}x^2y; e) \frac{1}{x}y^3; f) -
  3g5z TL 2 | Cho các biểu thức sau (1) a^2b - 2a^2b + 3a(ab) (2) (\frac{1}{2}ab) \cdot (\frac{1}{5}ac)bc (3) 12a(ab) - 123(
  nxqt DS 1 | Đúng điền Đ, sai điền S: Để nhân các đơn thức người ta chỉ cần nhân các phần biến với nhau.
  lsg7 NLC 1 | Có bao nhiêu đơn thức trong các biểu thức sau: -\dfrac25x^2y;\ 2+xy^3;\ xy^2z;\ \dfrac{xyz}{x-1}
  uv4f NLC 1 | Trong các đơn thức sau, đơn thức chưa thu gọn là?
  3ri7 NLC 1 | Khoanh vào chữ cái trước biểu thức là đơn thức
  qqk6 DS 1 | Trong các biểu thức sau, biểu thức nào là đơn thức?

### [7] Bài 1. Đơn thức | Thu gọn đơn thức (1)
    yêu cầu: Thực hiện được phép thu gọn đơn thức bằng cách nhân các hệ số và nhân các phần biến với nhau.
  s3n3 TL 2 | B. ĐẠI SỐ Bài 1. Thu gọn đơn thức sau: a)  (-2xy^2z)(\frac{3}{4}x^2yz^3); b)  (xy^2)(-2xy^3); c)  \frac{1}{5}x

### [8] Bài 1. Đơn thức | Nhận biết các đơn thức đồng dạng (11)
    yêu cầu: Nhận biết được các đơn thức đồng dạng và phân loại chúng thành các nhóm đồng dạng.
  pp5j TL 1 | Trong các đơn thức sau, đơn thức nào đồng dạng với đơn thức -3x^2yz? a) -3xyz b) \frac{2}{3}x^2yz c) \frac{3}{
  4y7s TL 1 | Xếp các đơn thức sau thành từng nhóm các đơn thức đồng dạng: \frac{3}{2}xy;\ -\frac{1}{3}x^2z;\ \frac{3}{4}xyz
  gh9o TL 1 | Sắp xếp các đơn thức sau thành từng nhóm, mỗi nhóm chứa tất cả các đơn thức đồng dạng với nhau: 3x^3y^2; -0,2x
  uu60 TL 1 | Xếp các đơn thức sau thành từng nhóm các đơn thức đồng dạng: -8x^2yz;\ 3xy^2z;\ \frac{1}{3}x^2yz;\ 5x^2y^2z;\ 
  dupf TL 2 | Nối đơn thức ở dòng trên với một đơn thức đồng dạng với nó ở dòng dưới: A: -\dfrac{2}{3}x^6y^5; B: -\dfrac{2}{
  ktsn TL 3 | Cho các biểu thức sau: A = 2xy^2 - 3xy^2 + 4xy^2 (1) B = (\dfrac13xy)(\dfrac12x^2z)y (2) C = 0{,}1xy^2 - 0{,}0
  q8rc TL 4 | Trong một cuộc vui tại liên hoan thiếu nhi thế giới, 5 bạn ở 5 châu lục khác nhau mỗi người sở hữu một mật mã 
  3y92 TL 3 | Xác định dấu của a, biết rằng x=-2abc^3 trái dấu với y=3a^2b^3c^5.
  rhuy TL 3 | Xác định dấu của a, biết rằng hai đơn thức x=-1\dfrac18a^3b và y=\dfrac{4}{15}a^2b^3 cùng dấu.
  ksyf TL 3 | Hai đơn thức x=-5a^{2n}b và y=3a^{4n}b^5 có thể có cùng giá trị âm được không?
  tq5h TL 1 | Xếp các đơn thức sau thành từng nhóm các đơn thức đồng dạng: \frac{5}{4}x^2y;\ x^2y^2;\ -\frac{1}{2}x^2y;\ -2x

### [9] Bài 1. Đơn thức | Tìm đơn thức thỏa mãn đẳng thức (9)
    yêu cầu: Vận dụng được các phép tính cộng, trừ đơn thức đồng dạng để tìm đơn thức chưa biết và tính giá trị của biểu thức tại giá trị cho trước của b
  r2am TL 2 | Tính giá trị của biểu thức M biết 15x^2y^4-M=10x^2y^4+6x^2y^4 tại x=-\frac{1}{2},\ y=2.
  sanu TL 2 | Tính giá trị của biểu thức M biết 40x^3y+M=20x^3y+15x^3y tại x=-2,\ y=\frac{1}{5}.
  zhvo TL 2 | Xác định đơn thức M để 2x^4y^4+3M=3x^4y^4-2x^4y^4.
  8hp0 TL 2 | Xác định đơn thức M để 3x^2y^3+M=-x^2y^3.
  j5n3 TL 2 | Xác định đơn thức M để 7x^2y^2-M=3x^2y^2.
  ysfa NLC 2 | Xác định số a để các đơn thức axy^3, -4xy^3, 7xy^3 có tổng bằng 6xy^3.
  d5ct TL 4 | Tìm x, y và z nếu (5x^2y^4)^3+(-7y^3z^5)^2=0.
  ql7b TL 2 | Xác định đơn thức M để x^2-2M=3x^2.
  4gs1 TL 2 | Xác định đơn thức M để 2x^3y^3-M=4x^3y^3.

### [10] Bài 1. Đơn thức | Tính tổng và hiệu đa thức (1)
    yêu cầu: Thực hiện được phép tính cộng và phép tính trừ các đơn thức đồng dạng.
  z5cn NLC 2 | Giá trị của đơn thức 9x^3y^3 tại x = -1, y = -\frac{1}{3}

### [11] Bài 1. Đơn thức | Chứng minh (1)
    yêu cầu: Vận dụng được các phép toán thu gọn biểu thức để chứng minh giá trị của biểu thức không phụ thuộc vào giá trị của biến.
  zi1o TL 3 | Cho chín số a_1, a_2, a_3; b_1, b_2, b_3; c_1, c_2, c_3 khác 0. Hỏi tất cả sáu số sau x_1 = a_1b_2c_3; x_2 = a

### [12] Bài 1. Đơn thức | Toán thực tế (2)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến việc lập biểu thức đại số biểu diễn diện tích hoặc thể tích.
  yfdw TL 4 | Bạn BEE trèo từng bậc cầu thang của nhà. Khi tới các bậc thứ 6, thứ 9 và thứ 12 bạn viết ở mỗi bậc lần lượt cá
  yp3t TL 3 | Chuyện rằng Rùa chạy đua với Thỏ. Thỏ chạy nhanh gấp 60 lần rùa, nhưng chỉ sau t phút chạy, Thỏ đã dừng lại mặ

### [13] Bài 1. Đơn thức | Tìm bậc đa thức (7)
    yêu cầu: Nhận biết và xác định được bậc của một đa thức sau khi đã thu gọn đa thức đó.
  6t4j NLC 1 | Đơn thức -2^3x^2yz^3 có
  sb53 DS 2 | Đúng điền Đ, sai điền S: Bậc của đơn thức 15xy^5z^{15} là 21.
  cwr5 DS 1 | Đúng điền Đ, sai điền S: Bậc của đơn thức 2014 là 2014.
  2mh3 TL 3 | Điền số/biểu thức thích hợp: Cho đơn thức chưa thu gọn 3^2xyz(3xy). Rút gọn đơn thức, xác định bậc của biến x,
  5g36 TL 3 | Điền số/biểu thức thích hợp: Cho đơn thức chưa thu gọn -\dfrac{2}{3}a^2x\cdot(-3y)^2\cdot\dfrac{2}{5}. Rút gọn
  ewhy TL 3 | Một đơn thức thu gọn có hệ số là 5 và cũng là đơn thức có bậc là 5. Biết đơn thức có đúng 3 biến số là x, y, z
  f4dw NLC 1 | Bậc của đơn thức 4x^2y^3z là:

### [14] Bài 2. Đa thức nhiều biến | Toán thực tế (7)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn liên quan đến việc biểu diễn các đại lượng bằng đa thức nhiều biến.
  n0lc TL 2 | Mỗi quyển vở giá x đồng. Mỗi cái bút giá y đồng. Viết biểu thức biểu thị số tiền phải trả để mua: a) 8 quyển v
  8p56 TL 2 | Cho hình hộp chữ nhật có các kích thước như hình bên (tính theo cm). [HÌNH VẼ] a) Viết các biểu thức tính thể 
  4p46 TL 3 | Một bức tường hình thang có cửa sổ hình tròn với các kích thước như hình vẽ bên (tính bằng m). [HÌNH VẼ] a) Vi
  hnqr TL 2 | Từ một miếng bìa, người ta cắt ra hai hình tròn có bán kính x centimét và y centimét. Tìm biểu thức biểu thị d
  g9jv TL 2 | Trong một khách sạn có hai bể bơi dạng hình hộp chữ nhật. Bể thứ nhất có chiều sâu là 1,2 m, đáy là hình chữ n
  y1ro TL 2 | Bạn Hạnh dự định cắt một miếng bìa có dạng tam giác vuông với độ dài hai cạnh góc vuông lần lượt là 6 (cm) , 8
  g3ka TL 2 | Mỗi chiếc bánh crepe có giá  x (đồng), mỗi chiếc bánh đồng xu có giá  y (đồng). a) Em hãy viết biểu thức biểu 

### [15] Bài 2. Đa thức nhiều biến | Tính tổng và hiệu đa thức (5)
    yêu cầu: Thực hiện được phép tính cộng và phép tính trừ các đa thức nhiều biến.
  8dpz NLC 3 | Giá trị của biểu thức x^2 + 3x + 1 tại x thỏa mãn (x^2 + 7)(x + 2) = 0 bằng
  9d5r NLC 2 | Bậc của đa thức \frac{5}{2}x^3y + 2xy^2 + 3xy - \frac{5}{2}x^3y - 2xy^2 - 1 là:
  9rgt NLC 2 | Trong các câu sau, câu nào sai?
  hp09 NLC 2 | Thu gọn đa thức -3x^2y - 2xy^2 + 16 - 2x^2y + 5xy^2 - 10 ta được
  0rc2 NLC 3 | Cho P = xyz + x^2y^2z^2 + x^3y^3z^3 + ... + x^{2020}y^{2020}z^{2020}. Tính P biết x = y = 1; z = -1.

### [16] Bài 2. Đa thức nhiều biến | Tính giá trị của đa thức (10)
    yêu cầu: Tính được giá trị của một đa thức nhiều biến khi biết giá trị của các biến.
  s6xw TL 2 | Thu gọn rồi tính giá trị của đa thức: M = \frac{1}{3}x^2y + xy^2 - xy + \frac{1}{2}xy^2 - 5xy - \frac{1}{3}x^2
  7iuw TL 2 | Cho đa thức P = 8x^2y^2z - 2xyz + 5y^2z - 5x^2y^2z + x^2y^2 - 3x^2y^2z. a) Thu gọn và tìm bậc của đa thức P; b
  8cu8 TL 2 | Cho đa thức P = 3x^4 + \frac{1}{3}xyz - 3x^4 - \frac{4}{3}xyz + 2x^2y - 6z. a) Tìm bậc của đa thức P. b) Tính 
  lkne TL 2 | Tính giá trị của đa thức P = x^2y + xy^2 tại x = -3; y = -2.
  rk12 TL 3 | Cho a, b, c là những hằng số thỏa mãn a + b + c = 2015. Tìm giá trị của đa thức A = axy^2z^3 + bx^3y + cxy^2z,
  5yi4 NLC 2 | Đa thức 2xy^2 + 3xy có giá trị bằng 0 tại x = \frac{1}{2}, thì giá trị của y là
  pqw5 TL 2 | Rút gọn các biểu thức sau, rồi tính giá trị của biểu thức thu gọn tại x = -1 và y = -1. a) xy - 9xy + 5xy + xy
  nrc6 TL 2 | Tính a) 15x^4 + 7x^4 + (-20x^2)^2 tại x = -1. b) 23x^3y^3 + 17x^3y^3 + (-50x^3y)y^2 tại x = 1; y = -1.
  gqm1 TL 3 | Bạn BEE không biết tính bài toán sau như thế nào, vì tính lũy thừa 5 của -0{,}3 rất khó. Bạn giúp BEE được khô
  0k3g TL 2 | Tìm bậc của mỗi đa thức sau rồi tính giá trị của chúng tại x = 1; y = -2: P = 5x^4 - 3x^3y + 2xy^3 - x^3y + 2y

### [17] Bài 2. Đa thức nhiều biến | Tìm bậc đa thức (22)
    yêu cầu: Xác định được bậc của một đa thức nhiều biến sau khi đã thu gọn.
  1hd2 TL 2 | Thu gọn (nếu cần) và tìm bậc của đa thức sau: 5x^2y + 8xy - 2x^2 - 5x^2y + x^2.
  4n5o TL 2 | Tìm bậc của đa thức: B = 6xy^2 + 7xy^3 + 8x^2y^3.
  03eg TL 2 | Tìm bậc của đa thức: M = x^6 + 2x^2y^3 - x^5 + xy - xy^5 - x^6.
  7ryk TL 2 | Tìm bậc của đa thức: N = 7x^2y - 4x^6 + 3y^2z + 4x^6.
  vgv5 TL 2 | Thu gọn (nếu cần) và tìm bậc của đa thức: Q = 5x^2 - 7xy + 2,5y^2 + 2x - 8,3y + 1.
  gbny TL 2 | Thu gọn (nếu cần) và tìm bậc của đa thức sau: x^4 - 3x^2y^2 + 3xy^2 - x^4 + 1.
  kxxt TL 2 | Thu gọn đa thức sau, rồi tìm bậc của chúng: B = 3x^2y^3z^4 + 3x^4 - 5x^2y^3z^4 + 6y^2z^3 + 2x^2y^3z^4.
  fz6z TL 2 | Thu gọn đa thức sau, rồi tìm bậc của chúng: A = 3x^4y^3 - 4x^2y^3 + 2x^2y^3 + 5x^2y - 4x^4y^3.
  lis1 TL 2 | Tìm bậc của đa thức sau: A = 2x^2y^3 + 3x^4 - 7x^2 + 6x^4 - x^2y^3.
  xax2 TL 2 | Tìm bậc của đa thức sau: B = 2x^2y^3 + 4x^4 - 5x^2 + 3x^4 - 2x^2y^3.
  9kgu TL 2 | Thu gọn đa thức sau rồi tìm bậc của chúng: P = -4x^3y^3 - 3x^4y^3 + x^4y^3 - 6xy^2 + 4x^3y^3.
  01lo TL 2 | Thu gọn đa thức sau rồi tìm bậc của chúng: R = x^2y + 2xxy - 3xz + x^2y - 2xy + 3xz.
  1v3t TL 3 | Cho đa thức P = 4x^5y^2 - 3x^3y + 7x^3y + ax^5y^2 (a hằng số). Để đa thức P có bậc là 4 thì giá trị của a là b
  hvnb TL 2 | Thu gọn đa thức sau rồi tìm bậc của chúng: Q = xy - x + 1 + 2xy - (xy - x + 2).
  nyfp TL 2 | Thu gọn (nếu cần) và tìm bậc của đa thức: H = 4x^5 - \frac{1}{2}x^3y + \frac{3}{4}x^2y^2 - 4x^5 + 2y^2 - 7.
  nvoz TL 3 | Một đa thức hai biến bậc hai thu gọn có thể có nhiều nhất bao nhiêu hạng tử bậc hai? Cho ví dụ.
  7drw DS 1 | Đúng điền Đ, sai điền S: Số mũ lớn nhất của các biến trong đa thức một biến (dạng rút gọn và không là đa thức 
  zco6 DS 2 | Đúng điền Đ, sai điền S: Bậc của đa thức là tổng bậc của tất cả các hạng tử trong dạng thu gọn của đa thức đó.
  mlbz TL 3 | Nối mỗi đa thức với bậc của nó: 1) 2x^2y^3-2xy^3+6(x^2y^2)y+6xy^2 2) 0{,}2xy^3-0{,}02x^3y^4+0{,}002xy^3+0{,}00
  xrg0 NLC 1 | Câu nào sau đây là sai?
  9sg4 NLC 2 | Bậc của thức 3x^2y^3-xy-3x^2y^3+xy+1 là:
  4p16 DS 1 | Đúng điền Đ, sai điền S: Số 0 là đa thức có bậc 0.

### [18] Bài 2. Đa thức nhiều biến | Nhận biết đa thức, hạng tử của đa thức (10)
    yêu cầu: Xác định được hệ số và bậc của từng hạng tử trong một đa thức nhiều biến.
  4srg TL 1 | Xác định hệ số và bậc của từng hạng tử trong đa thức sau: x^2y - 3xy + 5x^2y^2 + 0,5x - 4.
  k1gw TL 1 | Xác định hệ số và bậc của từng hạng tử trong đa thức sau: x\sqrt{2} - 2xy^3 + y^3 - 7x^3y.
  yji5 TL 1 | Hãy chỉ ra các đa thức trong các biểu thức sau: x - 1 + \frac{2}{x}; xyz - ax^2; 101; y^3 - 4; \frac{z + 1}{x^
  7pav DS 2 | Đúng điền Đ, sai điền S: Trong đa thức một biến, các hệ số của các hạng tử gọi là hệ số tự do.
  f6jk NLC 1 | Có bao nhiêu đa thức trong các biểu thức sau: 2025;\ x^2+2y^2;\ \dfrac1x+3y;\ \dfrac x3+xy;\ \sqrt z+2y
  xltu NLC 1 | Biểu thức nào sau đây là đa thức?
  2t4e TL 1 | Trong các biểu thức sau, biểu thức nào là đa thức? x^2 + 2y; 2x^2y; \frac{2x^2}{y}; \frac{x^2 + 2}{y}; \frac{x
  ttqu TL 1 | Trong các biểu thức sau, biểu thức nào là đa thức? -x^2 + 3x + 1; \frac{x}{\sqrt{5}}; x - \frac{\sqrt{5}}{x}; 
  9o8s TL 1 | Biểu thức nào dưới đây là đa thức? Hãy chỉ rõ các hạng tử của mỗi đa thức ấy. 3xy^2 - 1; x + \frac{1}{x}; \sqr
  de2t TL 1 | Cho a là hằng số. Trong các biểu thức sau, biểu thức nào là đa thức? a) A = \frac{1}{a + 1} \cdot x + xy^2 + x

### [19] Bài 2. Đa thức nhiều biến | Tìm x (2)
    yêu cầu: Vận dụng được các phép tính nhân đa thức và hằng đẳng thức để tìm giá trị của biến số thỏa mãn đẳng thức cho trước.
  z2e5 TL 3 | Tìm x, y và z biết (2x^2z^2)^3 + (-3xy^3)^2 = 0.
  slvt NLC 2 | Tổng các nghiệm của đa thức Q(x)=4x^2-16 là:

### [20] Bài 2. Đa thức nhiều biến | Rút gọn và tính giá trị biểu thức (1)
    yêu cầu: Thực hiện được việc thu gọn và tính giá trị của đa thức nhiều biến bằng cách sử dụng các phép tính đại số cơ bản.
  zrrs TL 3 | Cho biểu thức M = 3a^2x^2 + 4b^2x^2 - 2a^2x^2 - 3b^2x^2 + 19 (a \ne 0; b \ne 0). Tìm giá trị nhỏ nhất của M.

### [21] Bài 2. Đa thức nhiều biến | Thu gọn đa thức (18)
    yêu cầu: Thực hiện được việc thu gọn đa thức nhiều biến bằng cách nhóm các hạng tử đồng dạng.
  c2f6 TL 2 | Thu gọn đa thức: 5x^4 - 2x^3y + 20xy^3 + 6x^3y - 3x^2y^2 + xy^3 - y^4.
  zlcg TL 2 | Thu gọn đa thức sau: A = 5x^3y^2 + 3y^2x^3 - 4x^3y^2.
  mbc8 TL 2 | Thu gọn đa thức sau: B = 5x^2y - 2xy^2 + 3x^3y^3 + 3xy^2 - 4x^2y - 4x^3y^3.
  l276 TL 2 | Thu gọn đa thức sau: C = (5x + 5y) - (3x - 2y).
  fszg TL 2 | Thu gọn đa thức sau: 3x^5y^3 - 4x^4y^3 + 2x^4y^3 + 7xy^2 - 3x^5y^3.
  sygu TL 1 | Thu gọn đa thức M = x^2y - 5xy + 7xy^2 + 3x^2y + xy^2 - 4xy^2 + 2.
