Chương 2. Phương trình và bất phương trình bậc nhất một ẩn · lớp 9 · 15 dạng · 498 câu


### [1] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải bài toán bằng cách lập phương trình (23)
    yêu cầu: Giải quyết được một số vấn đề thực tiễn bằng cách lập phương trình quy về phương trình bậc nhất một ẩn.
  tivz TL 2 | Giải phương trình sau: (2x - 5)^2 - (x + 2)^2 = 0
  fu0c TL 2 | Giải phương trình sau: (2x + 1)^2 - 9x^2 = 0
  4d0b TL 2 | Giải phương trình sau: 2x(x - 3) + 5(x - 3) = 0
  5v8o NLC 3 | Tích các nghiệm của phương trình x^3 + 4x^2 + x - 6 = 0 là:
  u9ba NLC 3 | Tập nghiệm của phương trình (5x^2 - 2x + 10)^2 = (3x^2 + 10x - 8)^2 là:
  4j41 NLC 2 | Nghiệm lớn nhất của phương trình (x^2 - 1)(2x - 1) = (x^2 - 1)(x + 3) là:
  ne2b NLC 2 | Tìm m để phương trình (2m - 5)x - 2m^2 + 8 = 43 có nghiệm x = -7.
  yysr NLC 2 | Nghiệm nhỏ nhất của phương trình (2x + 1)^2 - (x - 1)^2 = 0 là:
  6lgu NLC 2 | Số nghiệm của phương trình: (x^2 + 9)(x - 1) = (x^2 + 9)(x + 3) là
  nch1 TL 2 | Giải phương trình sau: 4x^2-12x+5=0
  99xp NLC 2 | Chọn khẳng định đúng.
  x4oj TL 2 | Giải phương trình sau: (3x-1)^2 - (x+2)^2 = 0
  9b6v TL 2 | Giải phương trình sau: 3x^2-4x-4=0
  1y1x TL 2 | Giải phương trình sau: 2(x+1) = (5x-1)(x+1)
  r3hb TL 2 | Giải phương trình sau: (-4x+3)x = (2x+5)x

### [3] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải phương trình tích cơ bản (51)
    yêu cầu: Giải được phương trình tích dạng (ax + b)(cx + d) = 0 bằng cách đưa về các phương trình bậc nhất một ẩn.
  57g7 TL 2 | Tìm nghiệm nguyên của phương trình: (x-5)(3-2x)(3x+4)=0
  o3qp TL 2 | Tìm nghiệm nguyên của phương trình: (2x-1)(3x+2)(5-x)=0
  6wsi TL 2 | Tìm nghiệm nguyên của phương trình: (x+3)(2x+4)(x-5)=0
  2kdn TL 2 | Giải phương trình: (2x+1)(-x^2-2)=0
  9q9n TL 2 | Giải phương trình: (x^2+4)(2x-3)=0
  e8mt TL 2 | Tìm nghiệm nguyên của phương trình: (x+1)(x+3)(x+5)(x-6)=0
  oa02 TL 2 | Giải phương trình: (x-3)(3x+2)=0
  s1vt TL 2 | Giải phương trình: (4x-10)(24+5x)=0
  nyfv TL 2 | Giải phương trình: (\frac{3}{4}x-2)(\frac{5}{3}x+1)=0
  7kpr TL 2 | Giải phương trình: 2(x+4)(2x-3)=0
  47ax TL 2 | Giải phương trình: (5x+3)(\frac{3x+11}{4} - \frac{x-7}{12})=0
  ela9 TL 2 | Giải phương trình: (5x-7)(2x-6)=0
  p82r TL 2 | Giải phương trình: (8x-4)(-x^2+2x-2)=0
  3yyk TLN 2 | Tính tích các nghiệm của (3x - 1)(2x + 5) = 0.
  1dvd TL 1 | Giải phương trình sau: 15(x+9)(x-3)(x+21)=0
  uur4 TL 2 | Giải phương trình: (-2x^2-5)(\frac{2x-1}{5} - \frac{x-2}{3})=0
  bphj TL 2 | Giải phương trình: (2x^2+3)(\frac{x+3}{2} - \frac{x-1}{3} - \frac{x+5}{6})=0
  81tm TL 1 | Giải phương trình sau: (x^2-1)(x+3)=0
  lqoo TL 2 | Giải phương trình sau: (\frac{4x+1}{3}+1)(\frac{8x-3}{7}-3)=0
  ihik TL 2 | Giải phương trình sau: 9x(3x-7)(5x+6)=0
  6dsb NLC 1 | Phương trình (x - 1)(x - 2)(x - 3) = 0 có số nghiệm là:
  pb70 TL 2 | Giải phương trình: (3x-2)(x+1)=0
  x2o2 TL 2 | Giải phương trình: (x-3)(2x+1)=0
  egfv TL 2 | a) Tìm điều kiện xác định của phương trình: \frac{2x}{x-2} - \frac{3}{x+4} = 1. b) Giải phương trình tích sau:
  xk9d TL 2 | Giải phương trình: (x^2+x+1)(6-2x)=0
  d1cc TL 2 | Giải phương trình: (3-2x)(\frac{2x-1}{2} + \frac{x+3}{4})=0
  rau2 TL 2 | Cho biểu thức A = (5x-3y+1)(7x+2y-2). a) Tìm x sao cho với y=2 thì A=0. b) Tìm y sao cho với x=-2 thì A=0.
  liow TLN 2 | Tìm nghiệm âm của (2x - 3)(x + 5) = 0.
  2jsa NLC 1 | Các nghiệm của phương trình (2 + 6x)(-x^2 - 4) = 0 là:
  1eei NLC 2 | Cho phương trình (1) x(x^2 - 4x + 5) = 0 và phương trình (2) (x^2 - 1)(x^2 + 4x + 5) = 0. Chọn khẳng định đúng
  ob03 TLN 2 | Tính tổng các nghiệm của phương trình  (x - 8)(x + 10) = 0.
  xras TL 2 | Giải phương trình: x^2(7x-3)=0
  g0eq TL 2 | Giải phương trình: (x^2+2024)(6x-3)=0
  zf9x TL 2 | Giải phương trình: (x+6)(\frac{x^2+3}{2}-1)=0
  vd18 TL 2 | Giải phương trình: (x+2)(\frac{x+5}{2} - \frac{3-2x}{4})=0
  arlu TL 2 | Giải phương trình: (4x-10)[\frac{4x-3}{5} - \frac{2(x+3)}{7}]=0
  t5kf TL 2 | Giải phương trình: (x^2+1)[\frac{3(3-x)}{8} + \frac{2(5-x)}{3}]=0
  39q3 NLC 1 | Tập nghiệm của phương trình  (x - 8)(x + 9) = 0 là
  1hg3 TL 2 | Giải phương trình sau: (2x + 1)(3x - 2) = 0
  24zk TL 2 | Giải phương trình sau: (4x + 2)(x^2 + 1) = 0
  scrf TL 2 | Giải phương trình sau: (2x + 7)(x - 5)(5x + 1) = 0
  9izm TL 2 | Giải phương trình sau: (5x - 3)(\frac{4x - 1}{5} - \frac{2x + 1}{3}) = 0
  q52g TL 2 | Giải phương trình sau: (\frac{2x - 1}{3} - \frac{1 - x}{3})[\frac{2(x + 1)}{5} - (2x + 1)] = 0
  dkwt TL 2 | Giải phương trình sau: (3x - 2)(4x + 5) = 0
  tpm8 TL 2 | Giải phương trình sau: (2,3x - 6,9)(0,1x + 2) = 0
  xiel NLC 2 | Tổng các nghiệm của phương trình (x^2 - 4)(x + 6)(x - 8) = 0 là:
  6p9y TL 1 | Giải phương trình sau: (5x+2)(x-7)=0
  rjod NLC 1 | Phương trình (4 + 2x)(x - 1) = 0 có nghiệm là:
  ygo6 TL 2 | Giải phương trình: (x^2-9)(4-x)=0
  jghq TL 2 | Cho biểu thức P = (8x+5y-4)(x-3y+6)=0. a) Tìm các giá trị của x sao cho với y=4 thì P=0. b) Tìm các giá trị củ
  csfn TL 2 | a) Tìm điều kiện xác định của phương trình: \frac{x+1}{x-5} + \frac{2}{x+3} = 3. b) Giải phương trình tích sau

### [4] Bài 1. Phương trình quy về phương trình bậc nhất một ẩn | Giải phương trình chứa ẩn ở mẫu (103)
    yêu cầu: Tìm được điều kiện xác định, quy đồng khử mẫu để giải phương trình chứa ẩn ở mẫu và đối chiếu nghiệm với điều kiện.
  16q7 TLN 2 | Giải \frac{2}{x + 1} + 1 = \frac{5}{x + 1}.
  t4c8 TL 2 | Giải phương trình: \frac{4}{x-1}-\frac{5}{x-2}=-3
  tqrx TL 2 | Giải phương trình: \frac{x^2+6x-16}{x-2}=x+8
  bch0 TL 2 | Giải phương trình: \frac{x^2+2x+1}{x+1}=0
  8pca TL 2 | Giải phương trình: \frac{2x-5}{x+5}=3
  z6ic TL 2 | Giải phương trình: \frac{4}{x-2}-2=0
  ehna TL 2 | Giải phương trình: \frac{4x-8+(4-2x)}{x^2+1}=0
  evdr TL 2 | Giải phương trình: \frac{7x+7}{x-1}=\frac{2}{3}
  g8jp TL 2 | Giải phương trình: \frac{2}{1+x}=\frac{1}{3-7x}
  oveq TL 2 | Giải phương trình: \frac{1}{x-2}+3=\frac{3-x}{x-2}
  32la TL 2 | Giải phương trình sau: \frac{x^2 - 6}{x} = x + \frac{3}{2}
  5h1n TL 3 | Giải phương trình sau: \frac{(x^2 + 2x) - (3x + 6)}{x - 3} = 0
  3t8d TL 3 | Giải phương trình sau: \frac{5}{3x + 2} = 2x - 1
  kpvt TL 2 | Giải phương trình sau: \frac{5x}{2x+2} + 1 = -\frac{6}{x+1}
  36po TL 3 | Giải phương trình sau: x + \frac{1}{x} = x^2 + \frac{1}{x^2}
  g7uw TL 3 | Giải phương trình sau: \frac{x+3}{x+1} + \frac{x-3}{x} = 2
  82hv TL 2 | Giải phương trình sau: \frac{3x-2}{x+7} = \frac{6x+1}{2x-3}
  g4vx TL 2 | Giải phương trình sau: \frac{x+1}{x-1} - \frac{x-1}{x+1} = \frac{4}{x^2-1}
  4uvm TL 3 | Giải phương trình sau: \frac{13}{(x-3)(2x+7)} + \frac{1}{2x+7} = \frac{6}{(x-3)(x+3)}
  2zvk TLN 2 | Giải \frac{x + 2}{x - 1} = 2.
  thig TLN 2 | Phương trình \frac{x - 2}{x - 2} = 0 có bao nhiêu nghiệm?
  ofvj TL 2 | Tìm các giá trị của a sao cho biểu thức sau có giá trị bằng 2: \frac{3a-1}{3a+1} + \frac{a-3}{a+3}
  g6ps TL 2 | Giải phương trình sau: \frac{4x-8}{2x^2+1}=0
  bixv TL 2 | Giải phương trình: \frac{6x+1}{x^2-7x+10}+\frac{5}{x-2}=\frac{3}{x-5}
  ns9m TLN 2 | Phương trình \frac{x - 3}{x - 3} = 1 có bao nhiêu nghiệm thực?
  4x4u TL 3 | Giải phương trình sau: \frac{2}{2x + 1} + \frac{1}{x + 1} = \frac{3}{(2x + 1)(x + 1)}
  z2r5 TL 2 | Giải phương trình: \frac{x^2-15x+1}{x+17}=x-2
  g539 TL 3 | Giải phương trình sau: 2x - \frac{2x^2}{x+3} = \frac{4x}{x+3} + \frac{2}{7}
  emp4 TL 3 | Tìm các giá trị của a sao cho biểu thức sau có giá trị bằng 2: \frac{10}{3} - \frac{3a-1}{4a+12} - \frac{7a+2}
  0jv4 TL 2 | Tìm x sao cho hai biểu thức A và B có giá trị bằng nhau, với A=x+\frac{1}{x}; B=x^2+\frac{1}{x^2}.
  bay7 TL 2 | Tìm x sao cho biểu thức \frac{2x-9}{2x-5}+\frac{3x}{3x-2} có giá trị bằng 2.
  t3da TL 3 | Giải phương trình sau: \frac{3}{(x-1)(x-2)} + \frac{2}{(x-3)(x-1)} = \frac{1}{(x-2)(x-3)}
  j72h TL 3 | Giải phương trình: \frac{4x}{x^2+4x+3}-1=6(\frac{1}{x+3}-\frac{1}{2x+2})
  qtst TL 2 | Tìm x sao cho hai biểu thức A và B có giá trị bằng nhau, với A=(x+1+\frac{1}{x})^2; B=(x-1-\frac{1}{x})^2
  304x TL 3 | Giải phương trình sau: \frac{2x}{x-4} + \frac{3}{x+4} = \frac{x-12}{x^2-16}
  mlmb TL 2 | Giải phương trình: \frac{11}{x}=\frac{9}{x+1}+\frac{2}{x-4}
  8e81 NLC 2 | Phương trình \frac{6x}{9-x^2} = \frac{x}{x+3} - \frac{3}{3-x} có nghiệm là
  nz6m TL 2 | Giải phương trình: 3x-\frac{1}{x-2}=\frac{x-1}{2-x}
  pjfd TL 2 | Giải phương trình: \frac{x-1}{x-2}-3+x=\frac{1}{x-2}
  dap6 TL 2 | Tìm x sao cho giá trị của hai biểu thức \frac{6x-1}{3x+2} và \frac{2x+5}{x-3} bằng nhau.
  cw2g TL 2 | Tìm x sao cho giá trị của hai biểu thức \frac{x+5}{x-1}-\frac{x+1}{x-3} và \frac{-8}{(x-1)(x-3)} bằng nhau.
  crq0 TL 3 | Giải phương trình: \frac{2}{x^2-4}-\frac{x-1}{x(x-2)}+\frac{x-4}{x(x+2)}=0
  3ysn TL 2 | Giải phương trình: \frac{3}{4(x-5)}+\frac{15}{50-2x^2}=\frac{7}{6x+30}
  ybc0 TL 3 | Giải phương trình: 1+\frac{1}{2+x}=\frac{12}{x^3+8}
  cnrz TL 3 | Giải phương trình sau: 5 + \frac{96}{x^2-16} = \frac{2x-1}{x+4} - \frac{3x-1}{4-x}
  v2f5 TL 3 | Giải phương trình sau: \frac{x+1}{x-2} - \frac{5}{x+2} = \frac{12}{x^2-4} + 1
  04y2 TL 3 | Giải phương trình sau: \frac{x+5}{x-1} = \frac{x+1}{x-3} - \frac{8}{x^2-4x+3}
  7unp TL 2 | Với giá trị nào của a để biểu thức sau có giá trị bằng 2: \frac{2a-9}{2a-5} + \frac{3a}{3a-2}
  amfj NLC 1 | Điều kiện xác định của phương trình  \frac{x + 10}{x - 8} = 2 là
  b60o TL 2 | Giải phương trình: \frac{12}{1-9x^2}=\frac{1-3x}{1+3x}-\frac{1+3x}{1-3x}
  8oqu TL 3 | Giải phương trình sau: 1 + \frac{1}{x+2} = \frac{12}{8+x^3}
  fhxr TL 3 | Giải phương trình sau: (\frac{1}{x} + 2) = (\frac{1}{x} + 2)(x^2 + 1)
  fpam NLC 1 | Điều kiện xác định của phương trình \frac{x}{2x+1} + \frac{3}{x-5} = \frac{x}{(2x+1)(x-5)} là
  atu0 TL 3 | Giải phương trình sau: \frac{x+5}{3x-6} - \frac{1}{2} = \frac{2x-3}{2x-4}
  h7f6 TL 2 | Giải phương trình: \frac{x+1}{x-1}-\frac{x-1}{x+1}=\frac{16}{x^2-1}
  jti8 TL 3 | Giải phương trình: \frac{x+4}{x^2-3x+2}+\frac{x+1}{x^2-4x+3}=\frac{2x+5}{x^2-4x+3}
  9v1z TL 3 | Giải phương trình: \frac{12x+1}{6x-2}-\frac{9x-5}{3x+1}=\frac{108x-36x^2-9}{4(9x^2-1)}
  tzzv TL 3 | Giải phương trình: \frac{1}{x^2-2x+2}+\frac{2}{x^2-2x+3}=\frac{6}{x^2-2x+4}
  tq6q NLC 3 | Cho phương trình 1: \frac{1}{x} + \frac{2}{x-2} = 0 và phương trình 2: \frac{x-1}{x+2} - \frac{x}{x-2} = \frac
  dvud NLC 2 | Phương trình \frac{1}{x^2+4x+3} + \frac{1}{x^2+8x+15} + \frac{1}{x^2+12x+35} + \frac{1}{x^2+16x+63} = \frac{1}
  nhh9 TL 2 | Với giá trị nào của a để biểu thức sau có giá trị bằng 2: \frac{3a+2}{3a+4} + \frac{a-2}{a+4}
  1frr NLC 3 | Biết x_0 là nghiệm nhỏ nhất của phương trình \frac{1}{x^2+4x+3} + \frac{1}{x^2+8x+15} + \frac{1}{x^2+12x+35} +
  8gxs NLC 3 | Cho phương trình: \frac{1}{x^2+3x+2} + \frac{1}{x^2+5x+6} + \frac{1}{x^2+7x+12} + \frac{1}{x^2+9x+20} = \frac{
  7ufn TL 2 | Giải phương trình: \frac{x+5}{x^2-5x}-\frac{x+25}{2x^2-50}=\frac{x-5}{2x^2+10x}
  2qoz TL 2 | Giải phương trình: \frac{4x-3}{x-5}=\frac{29}{3}
  6kvg TL 2 | Giải phương trình: \frac{2x-1}{5-3x}=2
  w6dn TL 2 | Giải phương trình: \frac{4x-5}{x-1}=2+\frac{x}{x-1}
  ob9r TL 2 | Giải phương trình: \frac{x+2}{x+3}-\frac{3x}{x+3}=1
  sre9 TL 2 | Giải phương trình: \frac{2x+5}{2x}-\frac{x}{x+5}=0
  ftln TL 2 | Giải phương trình: \frac{1}{x}+\frac{2}{x-2}=0
  hck1 TL 2 | Giải phương trình: \frac{7}{x+2}=\frac{3}{x-5}
  711i TL 2 | Giải phương trình: \frac{12x+1}{11x-4}+\frac{10x-4}{9}=\frac{20x+17}{18}
  uqml TL 3 | Giải phương trình: \frac{1}{x}-2025-(\frac{1}{x}-2025)(x^2+2024)=0
  dy62 TL 2 | Giải phương trình: \frac{1}{x}+2=(\frac{1}{x}+2)(x^2+2)
  zzz8 TL 3 | Giải phương trình: \frac{1}{3-x}-\frac{1}{x+1}=\frac{x}{x-3}-\frac{(x-1)^2}{x^2-2x-3}
  pfx6 TL 2 | Giải phương trình: \frac{1}{x-2}-\frac{6}{x+3}=\frac{5}{6-x^2-x}
  9mh8 TL 3 | Giải phương trình: \frac{2}{x+2}-\frac{2x^2+16}{x^3+8}=\frac{5}{x^2-2x+4}
  w1zy TL 3 | Giải phương trình: \frac{1}{x-1}+\frac{2x^2-5}{x^3-1}=\frac{4}{x^2+x+1}
  vbhw TL 3 | Giải phương trình: \frac{8}{x-8}+\frac{11}{x-11}=\frac{9}{x-9}+\frac{10}{x-10}
  vmr9 TL 3 | Giải phương trình: \frac{x}{x-3}-\frac{x}{x-5}=\frac{x}{x-4}-\frac{x}{x-6}
  6w2d TL 3 | Giải phương trình: \frac{4}{x^2-3x+2}-\frac{3}{2x^2-6x+1}+1=0
  3vjh TL 3 | Giải phương trình: \frac{1}{x-1}+\frac{2}{x-2}=\frac{6}{x-6}+\frac{3}{x-3}
  fdoc TL 3 | Giải phương trình: \frac{x+1}{x^2+x+1}-\frac{x-1}{x^2-x+1}=\frac{3}{x(x^4+x^2+1)}
  3zc6 TL 3 | Giải phương trình: \frac{1}{x^2+9x+20}+\frac{1}{x^2+11x+30}+\frac{1}{x^2+13x+42}=\frac{1}{18}
  rn6t TL 3 | Giải phương trình: \frac{x^2}{x^2+2x+2}+\frac{x^2}{x^2-2x+2}-\frac{4x^2-20}{x^4+4}=\frac{322}{65}
  t9yj TL 3 | Giải phương trình: \frac{2}{x^2+4x+3}+\frac{5}{x^2+11x+24}+\frac{2}{x^2+18x+80}=\frac{9}{52}
  6lw4 TL 3 | Giải phương trình: \frac{x+4}{x-1}+\frac{x-4}{x+1}=\frac{x+8}{x-2}+\frac{x-8}{x+2}+6
  dps9 TL 3 | Giải phương trình: \frac{1}{x^2+5x+6}+\frac{1}{x^2+7x+12}+\frac{1}{x^2+9x+20}+\frac{1}{x^2+11x+30}=\frac{1}{8}
  4mzo TL 3 | Giải phương trình sau: \frac{1}{x + 1} - \frac{x}{x^2 - x + 1} = \frac{3x}{x^3 + 1}
  qtzm NLC 2 | Trong các khẳng định sau, số khẳng định đúng là: a) Tập nghiệm của phương trình \frac{x^2+3x}{x} = 0 là 0; -3.
  njad NLC 1 | Điều kiện xác định của phương trình \frac{x}{x-2} - \frac{2x}{x^2-1} = 0 là
  b5rn NLC 1 | Điều kiện xác định của phương trình \frac{1}{x-2} + 3 = \frac{3-x}{x-2} là
  30d8 NLC 3 | Cho hai biểu thức: A = 1 + \frac{1}{2+x} và B = \frac{12}{x^3+8}. Tìm x sao cho A = B.
  d4hm NLC 2 | Cho phương trình \frac{1}{x-1} - \frac{7}{x-2} = \frac{-1}{(x-1)(2-x)}. Bạn Long giải phương trình như sau: Bư
  drv4 NLC 3 | Số nghiệm của phương trình \frac{x^2+3x+2}{x+3} - \frac{x^2+2x+1}{x-1} = \frac{4x+4}{x^2+2x-3} là
