Chương 1. Hàm số lượng giác và phương trình lượng giác · lớp 11 · 31 dạng · 255 câu


### [1] Bài 1. Giá trị lượng giác của góc lượng giác | Tính các giá trị lượng giác của một góc lượng giác (22)
    yêu cầu: Tính được các giá trị lượng giác của một góc khi biết một giá trị lượng giác của góc đó.
  lfeh NLC 2 | Cho góc \alpha thỏa mãn 0 < \alpha < \frac{\pi}{2} và \cos \alpha = \frac{1}{3}. Tính \sin \alpha.
  t2hb NLC 2 | Số nghiệm của phương trình  \sin x = 0 trên đoạn  [0; \pi] là
  049u NLC 1 | Nghiệm của phương trình  \sin x = \frac{1}{2} là
  kdks NLC 1 | Nghiệm của phương trình  \cos x = \cos \frac{\pi}{12} là
  nonu NLC 1 | Nghiệm của phương trình  \cos x = -\frac{1}{2} là:
  q1ka DS 3 | Cho phương trình lượng giác \sin 2x = -\frac{1}{2}.
  dzxw TL 2 | Giải phương trình  \sqrt{2}\cos(x + \frac{\pi}{2}) = 1
  zlr5 NLC 1 | Nghiệm của phương trình 2\sin x + 1 = 0 là

### [15] Bài 4. Phương trình lượng giác cơ bản | Giải phương trình tan x = a, cot x = a (14)
    yêu cầu: Giải được phương trình lượng giác cơ bản dạng tan x = a và cot x = a.
  ld76 NLC 2 | Tập nghiệm của phương trình \sin x = \sqrt{3} \cos x là
  7p3b NLC 1 | Nghiệm của phương trình \cot x = \frac{1}{\sqrt{3}} là
  yb3m NLC 3 | Tổng các nghiệm của phương trình \tan 2x = \tan x trên [-\pi; 2\pi] là
  3n0q DS 3 | Cho phương trình lượng giác \cot 3x = -\frac{1}{\sqrt{3}}.
  ms4w NLC 1 | Giải phương trình \sqrt{3}\tan x - 1 = 0.
  6fb3 NLC 1 | Nghiệm của phương trình \tan x - 1 = 0 là
  i91p NLC 1 | Tìm nghiệm của phương trình \cot x = \sqrt{3}.
  1lnz NLC 3 | Tổng các nghiệm của phương trình \tan 5x - \tan x = 0 trên nửa khoảng [0; \pi) bằng
  hb94 NLC 2 | Nghiệm của phương trình \tan 3x = \tan x là:
