Chương 2. Hằng đẳng thức đáng nhớ và ứng dụng · lớp 8 · 38 dạng · 377 câu


### [1] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Tìm giá trị nhỏ nhất, lớn nhất (30)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng hoặc một hiệu để tìm giá trị lớn nhất hoặc nhỏ nhất của biểu thức.
  t0f0 TL 2 | Rút gọn, sau đó tính giá trị biểu thức sau: A = (x-2)^2 - (x-1)(x+1) - x(1-x) tại x=5.
  ibpc TL 2 | Rút gọn biểu thức: (7x + 4)^2 - (7x + 4)(7x - 4).
  lvnr TL 2 | Rút gọn biểu thức sau: x(x-6)-(x+4)(x-4)+3x-16
  0rth TL 2 | Rút gọn các biểu thức sau a)  A = x^2(x - y^2) - xy(1 - yx) - x^3 + 4x^3y^6 : 10xy^4 b)  B = x(x + 3y + 1) - 2
  sfxq TL 4 | *. Cho  x, y là các số thực thỏa mãn  x^2 + y^2 + xy - 3x - 3y + 3 = 0. Chứng minh biểu thức  P = (3x + 2y - 6

### [7] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Tìm x thoả mãn đẳng thức (11)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng, một hiệu hoặc hiệu hai bình phương để tìm biến số thỏa mãn đẳng thức.
  wiu1 TL 2 | Tìm x, biết: (3x+4)^2-(3x-1)(3x+1)=65
  toa2 TL 2 | Tìm x biết rằng: (x-5)^2+(x-3)(x+3)-2(x+1)^2=0.
  zatz TL 2 | Tìm x biết rằng: (2x+1)(1-2x)+(2x-1)^2=22.
  qukn TL 4 | Tìm các số x, y, z biết: x^2 - 6x + y^2 + 10y + 34 = -(4z-1)^2.
  87p4 TL 2 | Tìm x biết: (x-4)^2-(x-2)(x+2)=12.
  wvf4 TL 2 | Tìm x biết: (8-2x)^2-16=0.
  5m1u TL 3 | Tìm x, biết: x(x-5)(x+5) - (x+2)(x^2-2x+4) = 0.
  d7lb NLC 2 | Có bao nhiêu giá trị x thỏa mãn: 5^2-x^2=0
  0haz TL 3 | Tìm x, biết: x(x-5)(x+5)-(x-2)(x^2+2x+4)=58
  gs3w TL 2 | Tìm x, biết: (x+2)^2-(2x-1)^2=0
  qp09 TL 2 | Tìm  x, biết: a)  x(x - 3) - (x + 1)(x - 2) = 5 b)  x^2 - 6x + 9 = 0 c)  4x^2 - 25 = 0 d)  4x(x - 7) - 4x^2 = 

### [8] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Toán tổng hợp (6)
    yêu cầu: Vận dụng tổng hợp các hằng đẳng thức đáng nhớ để giải các bài toán rút gọn, tính giá trị, chứng minh và tìm giá trị lớn nhất, nhỏ nhất.
  ko3k TL 4 | (Đề thi HSG8, huyện Củ Chi, TP Hồ Chí Minh năm 2016). a) Tìm giá trị nhỏ nhất của biểu thức x^2+5y^2+2xy-4x-8y
  5dpf TL 4 | (Đề thi hsg lớp 8, Đông Hà, Quảng Trị năm 2017). Tìm tất cả các số nguyên x sao cho x^2+4x-3 là số chính phươn
  1a0a TL 3 | Một mảnh đất hình vuông có cạnh là x(m). Người ta mở rộng mảnh đất về bốn phía, mỗi phía 2(m) thì diện tích tă
  sbls TL 4 | Chứng minh rằng với mọi x \in Q thì giá trị của biểu thức N=(x+1)(x+2)(x+3)(x+4)+1 luôn là bình phương của một
  qskn TL 4 | HSG Huyện Thanh Oai 2023-2024. Cho các số x,y,z \ne 0 thỏa mãn đồng thời \frac{1}{x} + \frac{1}{y} + \frac{1}{
  swml TL 4 | Cho các số x,y thỏa mãn điều kiện x^2-2xy+6y^2-12x+2y+41=0. Tính giá trị biểu thức A = \frac{2020-2019(9-x-y)^

### [9] Bài 1. Hiệu 2 bình phương. Bình phương của một tổng hay một hiệu | Chứng minh giá trị của một biểu thức luôn dương (hay âm) với mọi giá trị của biến (4)
    yêu cầu: Vận dụng được hằng đẳng thức bình phương của một tổng hoặc một hiệu để chứng minh một biểu thức luôn nhận giá trị dương hoặc âm.
  avqc TL 3 | Chứng minh giá trị của biểu thức P=x^2-2x+3 luôn luôn dương với mọi giá trị của x.
  phct TL 3 | Chứng minh giá trị của biểu thức Q=6x-x^2-10 luôn luôn âm với mọi giá trị của x.
  7lnp NLC 2 | Trong các biểu thức sau, biểu thức nào luôn nhận giá trị dương:
  fq4i TL 3 | Chứng minh giá trị biểu thức Q = -x^2 + 6x - 10 luôn luôn âm với mọi x.

### [10] Bài 2. Lập phương của một tổng hay một hiệu | Rút gọn và tính giá trị của biểu thức (18)
    yêu cầu: Thực hiện được việc rút gọn và tính giá trị của biểu thức đại số bằng cách áp dụng hằng đẳng thức lập phương.
  fjd5 TL 2 | Rút gọn biểu thức sau: (x+2y)^3-6xy(x+2y).
  q2fk TL 2 | Rút gọn biểu thức sau: (x+2)^3+(x-2)^3+x^3-3x(x+2)(x-2).
  t2p9 TL 2 | Rút gọn biểu thức: (x + 2y)^3 - 6xy(x + 2y).
  kgel NLC 2 | Giá trị biểu thức A=8x^3+12x^2+6x+1 tại x=9,5 bằng:
  uqn5 TL 2 | Tính nhanh giá trị các biểu thức sau: A = 27 - 54x + 36x^2 - 8x^3 tại x = 4.
  23ux TL 2 | Tính nhanh giá trị các biểu thức sau: A = x^3 - 6x^2 + 12x - 8 tại x = 5.
  ozon TL 2 | Tính nhanh giá trị các biểu thức sau: B = 1 + \frac{3x}{2} + \frac{3x^2}{4} + \frac{x^3}{8} tại x = 18.
  0arv TL 2 | Rút gọn biểu thức sau: M = (x + 2)^3 - (x - 2)^3 + (x - 4)(x + 4).
  tli9 TL 2 | Rút gọn biểu thức sau: N = (a + b)^3 + (a - b)^3 - 6ab^2 - 2a(a + 1).
  bh65 TL 2 | Tính nhanh giá trị các biểu thức sau: D = (2x + y)^3 - 6(2x + y)^2x + 12(2x + y)x^2 - 8x^3 tại x = 99 và y = 5
  y7ru TL 3 | Rút gọn biểu thức sau: (x+3)^3-(2-x)^3-2x^3
  hsze TL 2 | Rút gọn biểu thức: (2x - y)^3 + 6xy(2x - y).
  53o0 TL 2 | Rút gọn biểu thức: (3x + y)^3 - 9xy(3x + y).
  9cw9 TL 2 | Tính nhanh giá trị của biểu thức: A = 8x^6 + 4x^4y + \frac{2}{3}x^2y^2 + \frac{1}{27}y^3 tại x = 3 và y = 6.
  ztr4 TL 2 | Tính nhanh giá trị của biểu thức: B = 27x^3 - 27x^2y^2 + 9xy^4 - y^6 tại x = 4 và y = 3.
  2mbl TL 2 | Tính nhanh giá trị các biểu thức sau: C = x^6 - \frac{3}{2}x^4y + \frac{3}{4}x^2y^2 - \frac{1}{8}y^3 tại x = 4
  qp60 NLC 3 | Hệ số tự do của đa thức M=(x+2)^3-(x-2)^3+(x-4)(x+4) khi thu gọn là:
  vs4r TL 2 | Tính nhanh giá trị các biểu thức sau: B = (x + 2y)^3 - 3(x + 2y)^2 + 3(x + 2y) - 1 tại x = 10, y = \frac{1}{2}

### [11] Bài 2. Lập phương của một tổng hay một hiệu | Chứng minh giá trị của biểu thức không phụ thuộc vào các biến (1)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để chứng minh giá trị của biểu thức không phụ thuộc vào biến.
  i3ok TL 3 | Trong các biểu thức sau, biểu thức nào không phụ thuộc vào giá trị của biến x: 1. A = (x - 1)^3 - (x + 1)^3 + 

### [12] Bài 2. Lập phương của một tổng hay một hiệu | Tìm giá trị nhỏ nhất, lớn nhất (1)
    yêu cầu: Vận dụng được hằng đẳng thức lập phương của một tổng hoặc một hiệu để tìm giá trị lớn nhất, giá trị nhỏ nhất của biểu thức.
  aq1k NLC 3 | Giá trị lớn nhất của biểu thức M=(x-3)^3+(-x-1)^3 là:

### [13] Bài 2. Lập phương của một tổng hay một hiệu | Vận dụng hằng đẳng thức để tính (28)
    yêu cầu: Thực hiện được việc khai triển hoặc viết gọn một biểu thức đại số bằng cách vận dụng các hằng đẳng thức đáng nhớ.
  1haq TL 1 | Viết đa thức 8x^3-12x^2y+6xy^2-y^3 dưới dạng bình phương hay lập phương của một tổng hay hiệu.
  ze1a TL 1 | Tính: (2x^2 + 5y)^3.
  fwdm TL 1 | Tính: (3x^3 - 4xy)^3.
  fqfd NLC 2 | x^3-x^2+\frac{1}{3}x-\frac{1}{27}=
  fbtk NLC 2 | Cho x^3+12x^2+48x+64=(x+a)^3. Giá trị của a là:
  v8ur NLC 1 | Hằng đẳng thức lập phương của một tổng là:
  tpwu NLC 1 | Hằng đẳng thức lập phương của một hiệu là:
