Chương 4. Hệ thức lượng trong tam giác vuông · lớp 9 · 10 dạng · 98 câu


### [1] Bài 1. Tỉ số lượng giác của góc nhọn | Tính tỉ số lượng giác của góc nhọn trong tam giác vuông (17)
    yêu cầu: Nhận biết được các tỉ số lượng giác sin, cos, tan, cot của góc nhọn và tính được chúng khi biết độ dài các cạnh của tam giác vuông.
  na6q TL 1 | Cho tam giác ABC vuông tại A, có AB = 5 cm, AC = 12 cm. Hãy tính các tỉ số lượng giác của góc B.
  phhd TL 2 | Tính góc nghiêng \alpha và chiều rộng AB của mái nhà kho trong hình sau, biết mái cao hơn ở mép A là 0{,}9 m s
  f9s9 TLN 2 | Một cột đèn có bóng trên mặt đất dài 7{,}5 m. Các tia nắng mặt trời tạo với mặt đất một góc xấp xỉ bằng 42^\ci
  qik9 TLN 2 | Một cái cây có bóng trên mặt đất dài 20 m. Cho biết tia nắng qua ngọn cây nghiêng một góc 31^\circ so với mặt 
  685c TLN 2 | Một cái thang dài 4{,}8 m dựa vào tường làm thành một góc 58^\circ so với mặt đất. Tính chiều cao của thang so
  zgyb TLN 2 | Từ đỉnh một toà nhà cao 54 m, người ta nhìn thấy một ô tô đang đỗ dưới một góc nghiêng xuống là 40^\circ. Hỏi 
  e66d TL 2 | Một cái cây có bóng in trên mặt đất dài 8 m khi các tia sáng mặt trời tạo với mặt đất một góc 48^\circ. Tính c
  aswt TLN 2 | Trong trò chơi đánh đu của một lễ hội vào mùa xuân, khi người chơi nhún đều, cây đu sẽ đưa người chơi dao động
  kwlu TLN 3 | Người ta cần lắp đặt một thiết bị chiếu sáng gắn trên tường cho một phòng triển lãm. Thiết bị này có góc chiếu
  0uog TL 2 | Một nhà trẻ muốn thiết kế hai cái cầu tuột trong sân chơi. Đối với trẻ dưới 5 tuổi, cầu tuột cao 1{,}5 m và ng
  lxvf TL 3 | Một tấm pin mặt trời dài  2,4 m được đặt nghiêng góc  25^{\circ} so với mái ngang. ![Hình ảnh](https://cmjithg

### [7] Bài 2. Một số hệ thức giữa cạnh, góc trong tam giác vuông và ứng dụng | Tính cạnh, góc trong tam giác vuông theo hệ thức lượng (2)
    yêu cầu: Vận dụng được các hệ thức giữa cạnh và góc trong tam giác vuông để tính độ dài cạnh hoặc số đo góc còn lại.
  cxjw TL 2 | Cho tam giác ABC vuông tại A có AB = 12 cm, \widehat{C} = 40^\circ. Hãy tính độ dài (làm tròn đến chữ số thập 
  8295 TL 2 | Cho tam giác ABC vuông tại A, đường cao AH. Biết AB = 2{,}5; BH = 1{,}5. Tính \widehat{B}, \widehat{C} (làm tr

### [8] Bài 2. Một số hệ thức giữa cạnh, góc trong tam giác vuông và ứng dụng | Giải tam giác vuông (13)
    yêu cầu: Giải được tam giác vuông (tìm mọi cạnh và góc chưa biết) khi biết hai cạnh hoặc một cạnh và một góc nhọn.
  nbq8 TL 2 | a) Giải tam giác ABC vuông tại A, biết AB = 5 và AC = 8. b) Giải tam giác ABC vuông tại A, biết AB = 3{,}5 và 
  ua45 TL 2 | Giải tam giác ABC vuông tại A, biết AB = 3{,}0 và BC = 4{,}5 (độ dài làm tròn đến chữ số thập phân thứ hai, gó
  rfa4 TL 2 | Giải tam giác ABC vuông tại A, biết \widehat{B} = 57^\circ và BC = 4{,}5 (kết quả làm tròn đến chữ số thập phâ
  gfm7 TL 2 | Cho tam giác OPQ vuông tại O có \widehat{P} = 36^\circ, PQ = 7. Hãy giải tam giác vuông OPQ (kết quả làm tròn 
  redp TL 2 | Giải tam giác ABC vuông tại A, biết (độ dài làm tròn đến chữ số thập phân thứ nhất, góc làm tròn đến độ): a) A
  y8qh TLN 4 | Tam giác ABC vuông tại A, B = 28^\circ. Tính C.
  w7n0 TLN 3 | Tam giác vuông có cạnh huyền 20 cm, góc nhọn 35^\circ. Tính cạnh đối góc 35^\circ (làm tròn 0,01 cm).
  vqw5 TLN 3 | Tam giác vuông có cạnh kề góc 40^\circ bằng 12 cm. Tính cạnh đối (làm tròn 0,01 cm).
  lcko TL 3 | Cho \Delta ABC vuông tại A có AB < AC, đường cao AH. a) Cho AB = 5 cm , BC = 13 cm. Tính BH, số đo góc B, góc 
  azfd NLC 2 | Trong tam giác vuông, cạnh huyền dài  17 cm, góc đối diện một cạnh góc vuông bằng  30^{\circ}. Độ dài cạnh đó 
  bd98 TL 2 | Giải tam giác ABC vuông tại A, biết \widehat{B} = 50^\circ và AB = 3{,}7 (kết quả làm tròn đến chữ số thập phâ
  mjst TL 2 | Một tam giác vuông có cạnh kề với góc  39^{\circ} dài  17 cm. Tính cạnh đối (làm tròn đến hàng phần trăm của c
  zfyi TL 2 | Cho tam giác ABC vuông tại A, có BC = a, AC = b, AB = c. Giải tam giác ABC trong các trường hợp (độ dài làm tr

### [9] Bài 2. Một số hệ thức giữa cạnh, góc trong tam giác vuông và ứng dụng | Tính đường cao, diện tích bằng tỉ số lượng giác (13)
    yêu cầu: Tính được đường cao, diện tích tam giác và các đoạn thẳng trong hình bằng cách vận dụng tỉ số lượng giác.
  ux49 TL 3 | Cho tam giác ABC có \widehat{B} = 65^\circ, \widehat{C} = 45^\circ và AB = 2{,}8 cm. Tính các góc và cạnh còn 
  5x47 TL 3 | Cho tam giác ABC có BC = 6 cm, \widehat{B} = 60^\circ, \widehat{C} = 40^\circ. Hãy tính (làm tròn đến chữ số t
  vl9c TL 3 | Giải tam giác ABC biết \widehat{B} = 65^\circ, \widehat{C} = 40^\circ và BC = 4{,}2 cm (kết quả làm tròn đến c
  t9e0 TL 3 | Giải tam giác nhọn ABC biết AB = 2{,}1, AC = 3{,}8 và \widehat{B} = 70^\circ (góc làm tròn đến độ, độ dài làm 
  oq1t TL 3 | Cho tam giác ABC nhọn. Đặt BC = a; AC = b; AB = c. Chứng minh rằng \dfrac{a}{\sin A} = \dfrac{b}{\sin B} = \df
  dfqq TL 3 | Cho tam giác ABC có góc A nhọn. Chứng minh rằng diện tích tam giác ABC là S = \dfrac{1}{2}AB \cdot AC \cdot \s
  s1q2 TLN 3 | Cho tam giác ABC cân tại A, đường cao BH. Biết \widehat{A} = 50^\circ, BH = 2{,}3. Tính chu vi của tam giác AB
  c70o TL 3 | Cho tam giác ABC có BC = 15 cm, \widehat{ABC} = 42^\circ và \widehat{ACB} = 30^\circ. Gọi H là chân đường cao 
  1f88 TLN 3 | Tính diện tích tam giác ABC (theo cm², làm tròn đến chữ số thập phân thứ hai) có BC = 2 cm, \widehat{B} = 45^\
  3gz4 TLN 3 | Cho hình thang ABCD có AB \parallel CD, \widehat{D} = 90^\circ, \widehat{C} = 38^\circ, AB = 3{,}5 và AD = 3{,
  p1n7 TLN 3 | Cho tam giác ABC, trong đó BC = 11 cm, \widehat{ABC} = 38^\circ, \widehat{ACB} = 30^\circ. Gọi điểm N là chân 
  6imk TL 4 | Cho tam giác nhọn ABC có AB < AC, đường cao AH = h, đường trung tuyến AM, đặt \widehat{HAM} = \alpha. Chứng mi
  3ks3 TL 3 | Cho tam giác ABC vuông tại A. Biết AB = 3 cm, BC = 5 cm. a) Giải tam giác vuông ABC (góc làm tròn đến độ). b) 

### [10] Bài 3. Ôn tập chương | Bài tập tổng hợp chương 4 (0)
    yêu cầu: Vận dụng tổng hợp tỉ số lượng giác và các hệ thức giữa cạnh, góc trong tam giác vuông để giải toán hình học và thực tế.
